Original Name,Marke,Branche,New Name
240229_Sounds_großes_Hörexperiment/os/oppo_OS-022.mp3,Oppo,Os,/15/3.mp3
240229_Sounds_großes_Hörexperiment/Mobility/Skoda_wdb_mobility-012.mp3,Skoda,Mobility,/15/4.mp3
240229_Sounds_großes_Hörexperiment/home/applehomepod_home-018.mp3,Applehomepod,Home,/15/5.mp3
240229_Sounds_großes_Hörexperiment/consumer/Apple_Vision_consumer-099.mp3,Apple,Consumer,/15/6.mp3
240229_Sounds_großes_Hörexperiment/Mobility/byton_mobility-008.mp3,Byton,Mobility,/15/7.mp3
240229_Sounds_großes_Hörexperiment/apps/GoogleMeet_Apps-006.mp3,Googlemeet,Apps,/16/1.mp3
240229_Sounds_großes_Hörexperiment/consumer/Apple_Vision_consumer-026.mp3,Apple,Consumer,/16/2.mp3
240229_Sounds_großes_Hörexperiment/apps/Zoom_apps-001.mp3,Zoom,Apps,/16/3.mp3
240229_Sounds_großes_Hörexperiment/consumer/xbox_consumer-008.mp3,Xbox,Consumer,/16/4.mp3
240229_Sounds_großes_Hörexperiment/home/LGWaschmaschine_Home-001.mp3,Lgwaschmaschine,Home,/16/5.mp3
240229_Sounds_großes_Hörexperiment/Mobility/DB_WDB_Mobility-002.mp3,Db,Mobility,/16/6.mp3
240229_Sounds_großes_Hörexperiment/health/vierra_health-009.mp3,Vierra,Health,/16/7.mp3
240229_Sounds_großes_Hörexperiment/home/Kärcher_home-004.mp3,Kärcher,Home,/17/1.mp3
240229_Sounds_großes_Hörexperiment/health/Philips_health-001.mp3,Philips,Health,/17/2.mp3
240229_Sounds_großes_Hörexperiment/apps/Messenger_apps.mp3,Messenger,Apps,/17/3.mp3
240229_Sounds_großes_Hörexperiment/os/windows_10_OS-031.mp3,Windows,Os,/17/4.mp3
240229_Sounds_großes_Hörexperiment/Mobility/Mercedes_Mobility-003.mp3,Mercedes,Mobility,/17/5.mp3
240229_Sounds_großes_Hörexperiment/os/Samsung_Android_OS-004 10.11.25.mp3,Samsung,Os,/17/6.mp3
240229_Sounds_großes_Hörexperiment/Mobility/Mercedes_Mobility-007.mp3,Mercedes,Mobility,/17/7.mp3
240229_Sounds_großes_Hörexperiment/os/huawei_OS-018.mp3,Huawei,Os,/18/1.mp3
240229_Sounds_großes_Hörexperiment/consumer/playstation_consumer-005.mp3,Playstation,Consumer,/18/2.mp3
240229_Sounds_großes_Hörexperiment/consumer/Apple_Watch_consumer-029.mp3,Apple,Consumer,/18/3.mp3
240229_Sounds_großes_Hörexperiment/Mobility/AMG_Mobility-006.mp3,Amg,Mobility,/18/4.mp3
240229_Sounds_großes_Hörexperiment/consumer/Apple_Vision_consumer-101.mp3,Apple,Consumer,/18/5.mp3
240229_Sounds_großes_Hörexperiment/Future/sil_future-018.mp3,Sil,Future,/18/6.mp3
240229_Sounds_großes_Hörexperiment/os/huawei_OS-016.mp3,Huawei,Os,/18/7.mp3
240229_Sounds_großes_Hörexperiment/consumer/Apple_Vision_consumer-019.mp3,Apple,Consumer,/19/1.mp3
240229_Sounds_großes_Hörexperiment/Mobility/Mercedes_Mobility-018.mp3,Mercedes,Mobility,/19/2.mp3
240229_Sounds_großes_Hörexperiment/Future/sil_future-054.mp3,Sil,Future,/19/3.mp3
240229_Sounds_großes_Hörexperiment/health/medtronic_health-003.mp3,Medtronic,Health,/19/4.mp3
240229_Sounds_großes_Hörexperiment/apps/paypal_apps-003.mp3,Paypal,Apps,/19/5.mp3
240229_Sounds_großes_Hörexperiment/consumer/UE_BOOM_Consumer-003.mp3,Ue,Consumer,/19/6.mp3
240229_Sounds_großes_Hörexperiment/Mobility/Skoda_wdb_mobility-005.mp3,Skoda,Mobility,/19/7.mp3
240229_Sounds_großes_Hörexperiment/Future/sil_future-036.mp3,Sil,Future,/20/1.mp3
240229_Sounds_großes_Hörexperiment/apps/paypal_apps-004.mp3,Paypal,Apps,/20/2.mp3
240229_Sounds_großes_Hörexperiment/apps/discord_apps-010.mp3,Discord,Apps,/20/3.mp3
240229_Sounds_großes_Hörexperiment/os/Windows_11_OS-030.mp3,Windows,Os,/20/4.mp3
240229_Sounds_großes_Hörexperiment/apps/steam_apps-018.mp3,Steam,Apps,/20/5.mp3
240229_Sounds_großes_Hörexperiment/consumer/Apple_Vision_consumer-043.mp3,Apple,Consumer,/20/6.mp3
240229_Sounds_großes_Hörexperiment/consumer/Apple_Vision_consumer-078.mp3,Apple,Consumer,/20/7.mp3
240229_Sounds_großes_Hörexperiment/consumer/xbox_consumer-003.mp3,Xbox,Consumer,/21/1.mp3
